"Year" "SSB"
"1" 1974 1.932027e+12
"2" 1975 1.864333e+12
"3" 1976 1.672256e+12
"4" 1977 1.944666e+12
"5" 1978 1.904976e+12
"6" 1979 1.814652e+12
"7" 1980 1.626575e+12
"8" 1981 1.438109e+12
"9" 1982 1.520865e+12
"10" 1983 1.421013e+12
"11" 1984 1.266452e+12
"12" 1985 1.177076e+12
"13" 1986 1.09085e+12
"14" 1987 1.011629e+12
"15" 1988 1.013582e+12
"16" 1989 8.56182e+11
"17" 1990 7.14472e+11
"18" 1991 6.47044e+11
"19" 1992 6.75163e+11
"20" 1993 6.48737e+11
"21" 1994 6.50756e+11
"22" 1995 5.3896e+11
"23" 1996 4.81664e+11
"24" 1997 4.49074e+11
"25" 1998 4.1329e+11
"26" 1999 3.58538e+11
"27" 2000 3.50553e+11
"28" 2001 3.3398e+11
"29" 2002 3.29925e+11
"30" 2003 3.68214e+11
"31" 2004 3.79278e+11
"32" 2005 4.27551e+11
"33" 2006 4.64669e+11
"34" 2007 4.82162e+11
"35" 2008 4.80765e+11
"36" 2009 5.39398e+11
"37" 2010 5.69179e+11
"38" 2011 5.61919e+11
"39" 2012 6.02935e+11
"40" 2013 6.3426e+11
"41" 2014 7.00958e+11
"42" 2015 6.51058e+11
"43" 2016 6.00877e+11
"44" 2017 6.31373e+11
"45" 2018 6.27942e+11
"46" 2019 5.01973e+11
