fid,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,SubDivisio
"1","47",47A0,59,-44,59.5,-43,"3178","3350",47A0,Greenland Sea,0.49850021,99.7000429,"0",47A0,0.4999999998,2.9999999994,"2"
"2","48",48A0,59.5,-44,60,-43,"3132","3430",48A0,Greenland Sea,0.5,100,"0",48A0,0.4999999998,2.9999999994,"2"
"3","49",49A0,60,-44,60.5,-43,"3085","3515",49A0,Greenland Sea,0.5,100,"0",49A0,0.4999999998,2.9999999994,"2"
"4","50",50A0,60.5,-44,61,-43,"3038","3612",50A0,Greenland Sea,0.5,100,"0",50A0,0.4999999998,2.9999999994,"2"
"5","51",51A0,61,-44,61.5,-43,"2991","3695",51A0,Greenland Sea,0.5,100,"0",51A0,0.5000000007,3.0000000012,"2"
"6","52",52A0,61.5,-44,62,-43,"2944","3775",52A0,Greenland Sea,0.5,100,"0",52A0,0.4999999998,2.9999999994,"2"
"7","54",54A0,62.5,-44,63,-43,"2848","3951",54A0,Greenland Sea,0.5,100,"0",54A0,0.4999999998,2.9999999994,"2"
"8","140",42A1,56.5,-43,57,-42,"3406","2959",42A1,Greenland Sea,0.00012845,0.02568916,"0",42A1,0.50000000115,3.000000003,"3"
"9","141",43A1,57,-43,57.5,-42,"3361","3037",43A1,Greenland Sea,0.00045844,0.0916883,"0",43A1,0.50000000025,3.0000000012,"3"
"10","142",44A1,57.5,-43,58,-42,"3316","3116",44A1,Greenland Sea,0.00079087,0.1581737,"0",44A1,0.50000000025,3.0000000012,"3"
"11","143",45A1,58,-43,58.5,-42,"3270","3194",45A1,Greenland Sea,0.0011233,0.2246591,"0",45A1,0.50000000025,3.0000000012,"3"
"12","144",46A1,58.5,-43,59,-42,"3224","3271",46A1,Greenland Sea,0.00145572,0.2911445,"0",46A1,0.50000000025,3.0000000012,"2"
"13","145",47A1,59,-43,59.5,-42,"3178","3351",47A1,Greenland Sea,0.49724312,99.44862408,"0",47A1,0.50000000025,3.0000000012,"2"
"14","146",48A1,59.5,-43,60,-42,"3132","3431",48A1,Greenland Sea,0.5,100,"0",48A1,0.50000000025,3.0000000012,"2"
"15","147",49A1,60,-43,60.5,-42,"3085","3516",49A1,Greenland Sea,0.5,100,"0",49A1,0.50000000025,3.0000000012,"2"
"16","148",50A1,60.5,-43,61,-42,"3038","3613",50A1,Greenland Sea,0.5,100,"0",50A1,0.50000000025,3.0000000012,"2"
"17","149",51A1,61,-43,61.5,-42,"2991","3696",51A1,Greenland Sea,0.5,100,"0",51A1,0.50000000115,3.000000003,"2"
"18","150",52A1,61.5,-43,62,-42,"2944","3776",52A1,Greenland Sea,0.5,100,"0",52A1,0.50000000025,3.0000000012,"2"
"19","151",53A1,62,-43,62.5,-42,"2896","3855",53A1,Greenland Sea,0.5,100,"0",53A1,0.50000000025,3.0000000012,"2"
"20","152",54A1,62.5,-43,63,-42,"2848","3952",54A1,Greenland Sea,0.5,100,"0",54A1,0.50000000025,3.0000000012,"2"
"21","153",55A1,63,-43,63.5,-42,"2800","4048",55A1,Greenland Sea,0.5,100,"0",55A1,0.50000000025,3.0000000012,"2"
"22","197",01A2,36,-42,36.5,-41,"4987","1",01A2,Oceanic Northeast Atlantic,0.49999997,99.99999325,"0",01A2,0.4999999998,2.9999999994,"1"
"23","198",02A2,36.5,-42,37,-41,"4955","94",02A2,Oceanic Northeast Atlantic,0.49999998,99.99999695,"0",02A2,0.4999999998,2.9999999994,"1"
"24","199",03A2,37,-42,37.5,-41,"4923","183",03A2,Oceanic Northeast Atlantic,0.49999999,99.99999705,"0",03A2,0.4999999998,2.9999999994,"1"
"25","200",04A2,37.5,-42,38,-41,"4891","269",04A2,Oceanic Northeast Atlantic,0.49999999,99.99999715,"0",04A2,0.4999999998,2.9999999994,"1"
"26","201",05A2,38,-42,38.5,-41,"4858","358",05A2,Oceanic Northeast Atlantic,0.49999999,99.99999725,"0",05A2,0.4999999998,2.9999999994,"1"
"27","202",06A2,38.5,-42,39,-41,"4825","437",06A2,Oceanic Northeast Atlantic,0.49999999,99.99999735,"0",06A2,0.5000000007,3.0000000012,"1"
"28","203",07A2,39,-42,39.5,-41,"4792","512",07A2,Oceanic Northeast Atlantic,0.49999999,99.99999745,"0",07A2,0.4999999998,2.9999999994,"1"
"29","204",08A2,39.5,-42,40,-41,"4758","598",08A2,Oceanic Northeast Atlantic,0.49999999,99.99999755,"0",08A2,0.4999999998,2.9999999994,"1"
"30","205",09A2,40,-42,40.5,-41,"4724","688",09A2,Oceanic Northeast Atlantic,0.49999999,99.99999765,"0",09A2,0.4999999998,2.9999999994,"1"
"31","206",10A2,40.5,-42,41,-41,"4689","779",10A2,Oceanic Northeast Atlantic,0.49999999,99.99999775,"0",10A2,0.4999999998,2.9999999994,"1"
"32","207",11A2,41,-42,41.5,-41,"4654","870",11A2,Oceanic Northeast Atlantic,0.49999999,99.99999785,"0",11A2,0.4999999998,2.9999999994,"1"
"33","208",12A2,41.5,-42,42,-41,"4619","960",12A2,Oceanic Northeast Atlantic,0.49999999,99.99999795,"0",12A2,0.4999999998,2.9999999994,"1"
"34","209",13A2,42,-42,42.5,-41,"4583","1044",13A2,Oceanic Northeast Atlantic,0.49999999,99.99999805,"0",13A2,0.4999999998,2.9999999994,"1"
"35","210",14A2,42.5,-42,43,-41,"4547","1132",14A2,Oceanic Northeast Atlantic,0.49999999,99.99999815,"0",14A2,0.4999999998,2.9999999994,"1"
"36","211",15A2,43,-42,43.5,-41,"4511","1219",15A2,Oceanic Northeast Atlantic,0.49999999,99.99999825,"0",15A2,0.5000000007,3.0000000012,
"37","212",16A2,43.5,-42,44,-41,"4474","1300",16A2,Oceanic Northeast Atlantic,0.49999999,99.9999983,"0",16A2,0.4999999998,2.9999999994,
"38","213",17A2,44,-42,44.5,-41,"4437","1380",17A2,Oceanic Northeast Atlantic,0.49999999,99.99999835,"0",17A2,0.4999999998,2.9999999994,
"39","214",18A2,44.5,-42,45,-41,"4400","1458",18A2,Oceanic Northeast Atlantic,0.49999999,99.9999984,"0",18A2,0.4999999998,2.9999999994,
"40","215",19A2,45,-42,45.5,-41,"4362","1533",19A2,Oceanic Northeast Atlantic,0.49999999,99.99999845,"0",19A2,0.4999999998,2.9999999994,
"41","216",20A2,45.5,-42,46,-41,"4324","1609",20A2,Oceanic Northeast Atlantic,0.49999999,99.9999985,"0",20A2,0.4999999998,2.9999999994,
"42","217",21A2,46,-42,46.5,-41,"4286","1677",21A2,Oceanic Northeast Atlantic,0.49999999,99.99999855,"0",21A2,0.4999999998,2.9999999994,
"43","218",22A2,46.5,-42,47,-41,"4247","1740",22A2,Oceanic Northeast Atlantic,0.49999999,99.9999986,"0",22A2,0.4999999998,2.9999999994,
"44","219",23A2,47,-42,47.5,-41,"4208","1801",23A2,Oceanic Northeast Atlantic,0.49999999,99.99999865,"0",23A2,0.4999999998,2.9999999994,
"45","220",24A2,47.5,-42,48,-41,"4169","1858",24A2,Oceanic Northeast Atlantic,0.49999999,99.9999987,"0",24A2,0.5000000007,3.0000000012,
"46","221",25A2,48,-42,48.5,-41,"4129","1915",25A2,Oceanic Northeast Atlantic,0.49999999,99.99999875,"0",25A2,0.4999999998,2.9999999994,
"47","222",26A2,48.5,-42,49,-41,"4089","1981",26A2,Oceanic Northeast Atlantic,0.49999999,99.9999988,"0",26A2,0.4999999998,2.9999999994,
"48","223",27A2,49,-42,49.5,-41,"4048","2031",27A2,Oceanic Northeast Atlantic,0.49999999,99.99999885,"0",27A2,0.4999999998,2.9999999994,
"49","224",28A2,49.5,-42,50,-41,"4008","2084",28A2,Oceanic Northeast Atlantic,0.49999999,99.9999989,"0",28A2,0.4999999998,2.9999999994,
"50","225",29A2,50,-42,50.5,-41,"3967","2137",29A2,Oceanic Northeast Atlantic,0.49999999,99.99999895,"0",29A2,0.4999999998,2.9999999994,
"51","226",30A2,50.5,-42,51,-41,"3925","2188",30A2,Oceanic Northeast Atlantic,0.5,99.999999,"0",30A2,0.4999999998,2.9999999994,
"52","227",31A2,51,-42,51.5,-41,"3884","2240",31A2,Oceanic Northeast Atlantic,0.5,99.99999905,"0",31A2,0.4999999998,2.9999999994,
"53","228",32A2,51.5,-42,52,-41,"3842","2292",32A2,Oceanic Northeast Atlantic,0.5,99.9999991,"0",32A2,0.4999999998,2.9999999994,
"54","229",33A2,52,-42,52.5,-41,"3800","2346",33A2,Oceanic Northeast Atlantic,0.5,99.99999915,"0",33A2,0.5000000007,3.0000000012,
"55","230",34A2,52.5,-42,53,-41,"3757","2401",34A2,Oceanic Northeast Atlantic,0.5,99.9999992,"0",34A2,0.4999999998,2.9999999994,"1"
"56","231",35A2,53,-42,53.5,-41,"3714","2460",35A2,Oceanic Northeast Atlantic,0.5,99.99999925,"0",35A2,0.4999999998,2.9999999994,"1"
"57","232",36A2,53.5,-42,54,-41,"3671","2522",36A2,Oceanic Northeast Atlantic,0.5,99.9999993,"0",36A2,0.4999999998,2.9999999994,"1"
"58","233",37A2,54,-42,54.5,-41,"3628","2592",37A2,Oceanic Northeast Atlantic,0.5,99.99999935,"0",37A2,0.4999999998,2.9999999994,"1"
"59","234",38A2,54.5,-42,55,-41,"3584","2663",38A2,Oceanic Northeast Atlantic,0.5,99.9999994,"0",38A2,0.4999999998,2.9999999994,"1"
"60","235",39A2,55,-42,55.5,-41,"3540","2734",39A2,Oceanic Northeast Atlantic,0.5,99.99999945,"0",39A2,0.4999999998,2.9999999994,"1"
"61","236",40A2,55.5,-42,56,-41,"3496","2805",40A2,Oceanic Northeast Atlantic,0.5,99.9999995,"0",40A2,0.4999999998,2.9999999994,"1"
"62","237",41A2,56,-42,56.5,-41,"3451","2881",41A2,Oceanic Northeast Atlantic,0.5,99.99999955,"0",41A2,0.4999999998,2.9999999994,"1"
"63","238",42A2,56.5,-42,57,-41,"3406","2960",42A2,Greenland Sea,0.3424606,68.49212026,"0",42A2,0.5000000007,3.0000000012,"3"
"64","239",43A2,57,-42,57.5,-41,"3361","3038",43A2,Greenland Sea,0.5,100,"0",43A2,0.4999999998,2.9999999994,"3"
"65","240",44A2,57.5,-42,58,-41,"3316","3117",44A2,Greenland Sea,0.5,100,"0",44A2,0.4999999998,2.9999999994,"3"
"66","241",45A2,58,-42,58.5,-41,"3270","3195",45A2,Greenland Sea,0.5,100,"0",45A2,0.4999999998,2.9999999994,"3"
"67","242",46A2,58.5,-42,59,-41,"3224","3272",46A2,Greenland Sea,0.5,100,"0",46A2,0.4999999998,2.9999999994,"3"
"68","243",47A2,59,-42,59.5,-41,"3178","3352",47A2,Greenland Sea,0.5,100,"0",47A2,0.4999999998,2.9999999994,"2"
"69","244",48A2,59.5,-42,60,-41,"3132","3432",48A2,Greenland Sea,0.5,100,"0",48A2,0.4999999998,2.9999999994,"2"
"70","245",49A2,60,-42,60.5,-41,"3085","3517",49A2,Greenland Sea,0.5,100,"0",49A2,0.4999999998,2.9999999994,"2"
"71","246",50A2,60.5,-42,61,-41,"3038","3614",50A2,Greenland Sea,0.5,100,"0",50A2,0.4999999998,2.9999999994,"2"
