"Year" "SSB"
"1" 1946 6.1104e+10
"2" 1947 8.046e+10
"3" 1948 1.03496e+11
"4" 1949 1.11881e+11
"5" 1950 1.17596e+11
"6" 1951 1.29241e+11
"7" 1952 1.32384e+11
"8" 1953 1.37908e+11
"9" 1954 1.32019e+11
"10" 1955 1.33137e+11
"11" 1956 1.37334e+11
"12" 1957 1.27961e+11
"13" 1958 1.11976e+11
"14" 1959 9.3023e+10
"15" 1960 7.8529e+10
"16" 1961 7.888e+10
"17" 1962 8.2265e+10
"18" 1963 8.055e+10
"19" 1964 8.7482e+10
"20" 1965 1.00522e+11
"21" 1966 1.09504e+11
"22" 1967 1.2525e+11
"23" 1968 1.2994e+11
"24" 1969 1.27506e+11
"25" 1970 1.20599e+11
"26" 1971 1.13719e+11
"27" 1972 1.15754e+11
"28" 1973 1.37581e+11
"29" 1974 1.89358e+11
"30" 1975 2.38145e+11
"31" 1976 2.37914e+11
"32" 1977 2.44151e+11
"33" 1978 3.02127e+11
"34" 1979 3.98005e+11
"35" 1980 4.47717e+11
"36" 1981 4.13034e+11
"37" 1982 4.38851e+11
"38" 1983 4.38149e+11
"39" 1984 3.74175e+11
"40" 1985 2.81607e+11
"41" 1986 1.95008e+11
"42" 1987 1.50848e+11
"43" 1988 1.42784e+11
"44" 1989 1.19434e+11
"45" 1990 8.9758e+10
"46" 1991 5.7757e+10
"47" 1992 6.142e+10
"48" 1993 1.03428e+11
"49" 1994 1.20209e+11
"50" 1995 1.31609e+11
"51" 1996 9.318e+10
"52" 1997 6.274e+10
"53" 1998 5.5725e+10
"54" 1999 5.1891e+10
"55" 2000 6.1631e+10
"56" 2001 7.5266e+10
"57" 2002 8.4111e+10
"58" 2003 8.5225e+10
"59" 2004 7.4205e+10
"60" 2005 9.21e+10
"61" 2006 9.1452e+10
"62" 2007 8.9606e+10
"63" 2008 1.27427e+11
"64" 2009 1.39592e+11
"65" 2010 1.43031e+11
"66" 2011 1.27333e+11
"67" 2012 1.02702e+11
"68" 2013 9.6851e+10
"69" 2014 1.05503e+11
"70" 2015 1.26145e+11
"71" 2016 1.13509e+11
"72" 2017 9.3161e+10
"73" 2018 9.0045e+10
"74" 2019 8.4527e+10
"75" 2020 6.8652e+10
