"Year" "SSB"
"1" 1991 17624917313.8721
"2" 1992 3754541957.26967
"3" 1993 5141812645.16256
"4" 1994 4084595672.53327
"5" 1995 11077875686.7102
"6" 1996 6689568916.69139
"7" 1997 14598328447.1603
"8" 1998 7287336228.78102
"9" 1999 10018597335.6454
"10" 2000 13348575950.667
"11" 2001 25571074785.0661
"12" 2002 16560320661.8566
"13" 2003 18096510263.5521
"14" 2004 15410797490.722
"15" 2005 18351554354.1241
"16" 2006 15842132613.4967
"17" 2007 19159560261.4156
"18" 2008 20165444268.0736
"19" 2009 16835278910.987
"20" 2010 15379318722.9852
"21" 2011 16066635033.1329
"22" 2012 7814544040.49442
"23" 2013 8133523084.40786
"24" 2014 5882999492.40545
"25" 2015 10872397800.9963
"26" 2016 12507275944.3563
"27" 2017 18780925533.2053
"28" 2018 17429101035.0479
"29" 2019 26015558977.4067
"30" 2020 19584793495.3513
