Year,Catch_no,Catch,Landings
1974,8159300,370567.3,368652
1975,7382800,354298.2,354851
1976,6925400,305557,305420
1977,6282700,302320.8,301952
1978,5745500,278976.9,278966
1979,5010800,278147.7,278182
1980,5038400,270313.3,270282
1981,5598000,292972.6,293615
1982,5459600,274266.4,273134
1983,6018700,306741.3,307601
1984,5555700,277953.8,277926
1985,6730700,276082.4,275760
1986,5985799,239505.389,240516
1987,5828000,248396,248653
1988,5989200,255424.4,255734
1989,6040700,275812.9,275501
1990,5306500,227785.5,228572
1991,5333600,197579.2,197676
1992,5774500,188470.9,189781
1993,6882600,209497.9,209094
1994,6303420,217291.75,218260
1995,6582200,187266,188181
1996,6554600,163711.4,162578
1997,6639800,160110.5,160002
1998,8105396,185581.526,185780
1999,6142514,141851.485,145922
2000,7091370,175810,175646
2001,5868097,149248.292,148404
2002,4946446,131080.3817,129222
2003,4284478,112335.6305,113584
2004,3937786,92975.669,93006
2005,3664013,90529.1199,91592
2006,4149056,109525.6146,110372
2007,4051778,114688.8106,116030
2008,4533143,125467.0973,126155
2009,5017508,133690.3131,134127
2010,4770773,135614.6882,136706
2011,3855776,115758.9563,116785
2012,2830322,100322.5087,100893
2013,3064794,100679.3905,100954
2014,4195966,131501.1957,132700
2015,6284323,174339.8347,174433
2016,8005727,190380.1322,192056
2017,7658015,200431.8493,202517
2018,9016671,244083.0483,244365
2019,7075976,202003.4345,204438
