Year,Catch_no,Catch_app,Landings,Catch
1974,18698000,214.4606,242000,214460.6
1975,13186000,164.8391,201000,164839.1
1976,13476000,149.9948,195000,149994.8
1977,16316000,184.6096,181000,184609.6
1978,11003000,132.6891,132000,132689.1
1979,6063000,72.2794,77000,72279.4
1980,4454000,57.4385,58000,57438.5
1981,4449000,47.337,49000,47337
1982,3876000,49.0726,49000,49072.6
1983,3012000,35.5657,37000,35565.7
1984,4440000,52.2304,53000,52230.4
1985,5622000,68.8701,70000,68870.1
1986,5755000,74.663,76000,74663
1987,6580000,90.3424,88000,90342.4
1988,6381000,80.1138,80000,80113.8
1989,6232000,85.0914,86000,85091.4
1990,6334000,85.8156,86000,85815.6
1991,7526000,101.4496,103000,101449.6
1992,10443000,139.2752,142000,139275.2
1993,14311000,173.5747,178000,173574.7
1994,24330000,287.0218,289000,287021.8
1995,28297000,310.7547,313000,310754.7
1996,53200000,438.7792,441000,438779.2
1997,61359000,526.596,529000,526596
1998,58521000,469.1212,471000,469121.2
1999,49005000,415.114,421000,415114
2000,40898000,388.8997,389000,388899.7
2001,33692000,339.5486,342000,339548.6
2002,34219000,334.9948,343000,334994.8
2003,32862000,296.6206,308000,296620.6
2004,51979000,372.9819,374000,372981.9
2005,51984000,394.4914,405000,394491.4
2006,44975000,344.7632,352000,344763.2
2007,48511000,381.7454,388000,381745.4
2008,40126000,371.8792,381000,371879.2
2009,50115000,403.61742,407000,403617.42
2010,39299000,334.2351,342000,334235.1
2011,31596000,260.7992,268000,260799.2
2012,23415000,226.5658,231000,226565.8
2013,27870000,270.5832,272000,270583.2
2014,24987343.46,238.6301995,244000,238630.1995
2015,32952160.95,245.8686132,247000,245868.6132
2016,30435245.44,243.3255546,247000,243325.5546
2017,32339102.73,282.5346269,286000,282534.6269
2018,34988347.05,305.6467347,309000,305646.7347
2019,36077819.82,311.6734143,314000,311673.4143
