"Date" "Year" "Quarter" "Appr..status" "Seq.No." "Sampling.type" "Vessel" "Trip" "Station" "Gear" "Mesh.size" "Validity..haul." "Subsample" "Fate" "Processing" "Catagory" "Max.maturity" "Subdiv." "Rect." "ICES" "Depth" "Fishno" "LngtClass" "Age" "Age.quality" "IndWgt" "Sex" "Maturity" "Otolithno" "Spmen.note" "Age.quality...code." "Area" "Area_Year"
"31329" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 1 105 1 NA 8 "" NA NA "" NA 25 "25.1992"
"31330" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 2 105 2 NA 8 "" NA NA "" NA 25 "25.1992"
"31331" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 3 110 1 NA 9 "" NA NA "" NA 25 "25.1992"
"31332" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 4 110 1 NA 9 "" NA NA "" NA 25 "25.1992"
"31333" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 5 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31334" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 14 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31335" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 13 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31336" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 12 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31337" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 11 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31338" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 10 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31339" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 9 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31340" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 8 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31341" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 7 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31342" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 6 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31343" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 15 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31344" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 22 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31345" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 21 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31346" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 20 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31347" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 19 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31348" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 18 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31349" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 17 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31350" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 16 120 1 NA 12 "" NA NA "" NA 25 "25.1992"
"31351" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 23 120 2 NA 12 "" NA NA "" NA 25 "25.1992"
"31352" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 24 120 2 NA 12 "" NA NA "" NA 25 "25.1992"
"31353" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 33 125 1 NA 14 "" NA NA "" NA 25 "25.1992"
"31354" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 34 125 1 NA 14 "" NA NA "" NA 25 "25.1992"
"31355" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 25 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31356" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 32 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31357" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 31 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31358" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 30 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31359" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 29 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31360" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 28 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31361" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 26 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31362" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 27 125 3 NA 14 "" NA NA "" NA 25 "25.1992"
"31363" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 35 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31364" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 44 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31365" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 43 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31366" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 41 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31367" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 40 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31368" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 39 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31369" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 38 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31370" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 37 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31371" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 36 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31372" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 42 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31373" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 45 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31374" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 53 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31375" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 52 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31376" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 48 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31377" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 46 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31378" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 47 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
"31379" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 54 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
"31380" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 51 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
"31381" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 50 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
"31382" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 49 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
"31383" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 55 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31384" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 63 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31385" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 62 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31386" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 60 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31387" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 59 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31388" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 58 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31389" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 56 140 2 NA 18 "" NA NA "" NA 25 "25.1992"
"31390" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 61 140 3 NA 18 "" NA NA "" NA 25 "25.1992"
"31391" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 64 140 3 NA 18 "" NA NA "" NA 25 "25.1992"
"31392" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 57 140 5 NA 18 "" NA NA "" NA 25 "25.1992"
"31393" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 68 145 2 NA 20 "" NA NA "" NA 25 "25.1992"
"31394" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 73 145 2 NA 20 "" NA NA "" NA 25 "25.1992"
"31395" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 66 145 3 NA 20 "" NA NA "" NA 25 "25.1992"
"31396" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 74 145 3 NA 20 "" NA NA "" NA 25 "25.1992"
"31397" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 71 145 3 NA 20 "" NA NA "" NA 25 "25.1992"
"31398" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 70 145 3 NA 20 "" NA NA "" NA 25 "25.1992"
"31399" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 69 145 3 NA 20 "" NA NA "" NA 25 "25.1992"
"31400" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 65 145 4 NA 20 "" NA NA "" NA 25 "25.1992"
"31401" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 67 145 4 NA 20 "" NA NA "" NA 25 "25.1992"
"31402" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 72 145 6 NA 20 "" NA NA "" NA 25 "25.1992"
"31403" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 75 150 3 NA 22 "" NA NA "" NA 25 "25.1992"
"31404" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 82 150 3 NA 22 "" NA NA "" NA 25 "25.1992"
"31405" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 78 150 3 NA 22 "" NA NA "" NA 25 "25.1992"
"31406" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 77 150 3 NA 22 "" NA NA "" NA 25 "25.1992"
"31407" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 76 150 4 NA 22 "" NA NA "" NA 25 "25.1992"
"31408" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 80 150 4 NA 22 "" NA NA "" NA 25 "25.1992"
"31409" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 79 150 4 NA 22 "" NA NA "" NA 25 "25.1992"
"31410" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 81 150 8 NA 22 "" NA NA "" NA 25 "25.1992"
"31411" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 83 150 8 NA 22 "" NA NA "" NA 25 "25.1992"
"31412" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 88 155 2 NA 22 "" NA NA "" NA 25 "25.1992"
"31413" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 85 155 4 NA 22 "" NA NA "" NA 25 "25.1992"
"31414" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 84 155 5 NA 22 "" NA NA "" NA 25 "25.1992"
"31415" "9/29/92" 1992 3 "Final" 446 2 "SEPI" 44 182 321 9 "V" 0 8 0 9 8 "25" 3960 "39G5" 94 86 155 5 NA 22 "" NA NA "" NA 25 "25.1992"
"31417" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 1 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31418" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 2 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31419" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 3 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31420" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 4 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31421" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 5 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31422" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 6 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31423" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 7 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31424" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 8 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31425" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 9 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31426" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 10 115 1 NA 11 "" NA NA "" NA 25 "25.1992"
"31427" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 11 120 1 NA 13 "" NA NA "" NA 25 "25.1992"
"31428" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 20 120 1 NA 13 "" NA NA "" NA 25 "25.1992"
"31429" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 19 120 1 NA 13 "" NA NA "" NA 25 "25.1992"
"31430" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 12 120 1 NA 13 "" NA NA "" NA 25 "25.1992"
"31431" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 13 120 1 NA 13 "" NA NA "" NA 25 "25.1992"
"31432" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 14 120 2 NA 13 "" NA NA "" NA 25 "25.1992"
"31433" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 15 120 2 NA 13 "" NA NA "" NA 25 "25.1992"
"31434" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 16 120 2 NA 13 "" NA NA "" NA 25 "25.1992"
"31435" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 17 120 2 NA 13 "" NA NA "" NA 25 "25.1992"
"31436" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 18 120 2 NA 13 "" NA NA "" NA 25 "25.1992"
"31437" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 27 125 1 NA 14 "" NA NA "" NA 25 "25.1992"
"31438" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 30 125 1 NA 14 "" NA NA "" NA 25 "25.1992"
"31439" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 21 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31440" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 28 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31441" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 25 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31442" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 22 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31443" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 23 125 2 NA 14 "" NA NA "" NA 25 "25.1992"
"31444" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 26 125 3 NA 14 "" NA NA "" NA 25 "25.1992"
"31447" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 32 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31448" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 37 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31449" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 36 130 2 NA 15 "" NA NA "" NA 25 "25.1992"
"31450" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 31 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31451" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 40 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31452" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 39 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31453" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 38 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31454" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 33 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31455" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 34 130 3 NA 15 "" NA NA "" NA 25 "25.1992"
"31456" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 35 130 4 NA 15 "" NA NA "" NA 25 "25.1992"
"31457" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 43 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31458" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 46 135 2 NA 16 "" NA NA "" NA 25 "25.1992"
"31459" "9/30/92" 1992 3 "Final" 447 2 "SEPI" 44 183 321 9 "V" 0 8 0 9 8 "25" 3961 "39G6" 62 42 135 3 NA 16 "" NA NA "" NA 25 "25.1992"
