"Year" "SSB"
"1" 1974 9.4e+11
"2" 1975 7.26e+11
"3" 1976 6.25e+11
"4" 1977 1.044e+12
"5" 1978 6.95e+11
"6" 1979 3.77e+11
"7" 1980 2.27e+11
"8" 1981 1.99e+11
"9" 1982 2.54e+11
"10" 1983 3.94e+11
"11" 1984 6.16e+11
"12" 1985 6.04e+11
"13" 1986 5.7e+11
"14" 1987 4.61e+11
"15" 1988 4.03e+11
"16" 1989 4.22e+11
"17" 1990 5.56e+11
"18" 1991 7.74e+11
"19" 1992 1.044e+12
"20" 1993 1.359e+12
"21" 1994 1.373e+12
"22" 1995 1.427e+12
"23" 1996 1.806e+12
"24" 1997 1.774e+12
"25" 1998 1.35e+12
"26" 1999 1.351e+12
"27" 2000 1.316e+12
"28" 2001 1.194e+12
"29" 2002 9.41e+11
"30" 2003 8.27e+11
"31" 2004 1.042e+12
"32" 2005 1.326e+12
"33" 2006 1.059e+12
"34" 2007 9.01e+11
"35" 2008 9.26e+11
"36" 2009 8.32e+11
"37" 2010 9.52e+11
"38" 2011 7.54e+11
"39" 2012 6.95e+11
"40" 2013 7.07e+11
"41" 2014 6.21e+11
"42" 2015 6.92e+11
"43" 2016 1.09e+12
"44" 2017 1.107e+12
"45" 2018 1.024e+12
"46" 2019 9.31e+11
