ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,Longitude,Latitude
"47",47A0,59.00000,-44.00000,59.50000,-43.00000,"3178","3350",47A0,Greenland Sea,0.49850021,99.70004290,"0",47A0,0.49999999980,2.99999999940,-43.500,59.250
"48",48A0,59.50000,-44.00000,60.00000,-43.00000,"3132","3430",48A0,Greenland Sea,0.50000000,100.00000000,"0",48A0,0.49999999980,2.99999999940,-43.500,59.750
"49",49A0,60.00000,-44.00000,60.50000,-43.00000,"3085","3515",49A0,Greenland Sea,0.50000000,100.00000000,"0",49A0,0.49999999980,2.99999999940,-43.500,60.250
"50",50A0,60.50000,-44.00000,61.00000,-43.00000,"3038","3612",50A0,Greenland Sea,0.50000000,100.00000000,"0",50A0,0.49999999980,2.99999999940,-43.500,60.750
"51",51A0,61.00000,-44.00000,61.50000,-43.00000,"2991","3695",51A0,Greenland Sea,0.50000000,100.00000000,"0",51A0,0.50000000070,3.00000000120,-43.500,61.250
"52",52A0,61.50000,-44.00000,62.00000,-43.00000,"2944","3775",52A0,Greenland Sea,0.50000000,100.00000000,"0",52A0,0.49999999980,2.99999999940,-43.500,61.750
"54",54A0,62.50000,-44.00000,63.00000,-43.00000,"2848","3951",54A0,Greenland Sea,0.50000000,100.00000000,"0",54A0,0.49999999980,2.99999999940,-43.500,62.750
"140",42A1,56.50000,-43.00000,57.00000,-42.00000,"3406","2959",42A1,Greenland Sea,0.00012845,0.02568916,"0",42A1,0.50000000115,3.00000000300,-42.500,56.750
"141",43A1,57.00000,-43.00000,57.50000,-42.00000,"3361","3037",43A1,Greenland Sea,0.00045844,0.09168830,"0",43A1,0.50000000025,3.00000000120,-42.500,57.250
"142",44A1,57.50000,-43.00000,58.00000,-42.00000,"3316","3116",44A1,Greenland Sea,0.00079087,0.15817370,"0",44A1,0.50000000025,3.00000000120,-42.500,57.750
"143",45A1,58.00000,-43.00000,58.50000,-42.00000,"3270","3194",45A1,Greenland Sea,0.00112330,0.22465910,"0",45A1,0.50000000025,3.00000000120,-42.500,58.250
"144",46A1,58.50000,-43.00000,59.00000,-42.00000,"3224","3271",46A1,Greenland Sea,0.00145572,0.29114450,"0",46A1,0.50000000025,3.00000000120,-42.500,58.750
"145",47A1,59.00000,-43.00000,59.50000,-42.00000,"3178","3351",47A1,Greenland Sea,0.49724312,99.44862408,"0",47A1,0.50000000025,3.00000000120,-42.500,59.250
"146",48A1,59.50000,-43.00000,60.00000,-42.00000,"3132","3431",48A1,Greenland Sea,0.50000000,100.00000000,"0",48A1,0.50000000025,3.00000000120,-42.500,59.750
