study,oxygen,oxygen_unit,oxygen_mLL,temperature_C,salinity_ppt,activity,activity_unit,SE_activity,SE_rel_activity,response_activity,ingestion,ingestion_unit,SE_ingestion,SE_rel_ingestion,response_ingestion,fce,fce_unit,SE_fce,SE_rel_fce,response_fce,nTreatment,species,age_class
Chabot1999,45.06,percent_sat,3.11398,9.96,28,0.74,,0.094394206,0.127559738,0.395124782,14.95522388,g_day_fish,,0.018214837,0.453188602,26.13978495,biomassgain_unitweight,,0.047951644,0.896386431,20,Gadus_morhua,adult
Chabot1999,55.61,percent_sat,3.83376,10.09,28,1.483695652,,0.079223919,0.053396341,0.792222867,21.85074627,g_day_fish,,0.018214837,0.662143826,27.1827957,biomassgain_unitweight,,0.047951644,0.932153392,20,Gadus_morhua,adult
Chabot1999,64.94,percent_sat,4.47948,10.06,28,1.160869565,,0.096163082,0.082837112,0.6198491,27.2238806,g_day_fish,,0.018214837,0.824966079,27.66666667,biomassgain_unitweight,,0.047951644,0.948746313,19,Gadus_morhua,adult
Chabot1999,75.38,percent_sat,5.20835,9.97,28,1.4,,0.089049451,0.063606751,0.747533372,25.34328358,g_day_fish,,0.018214837,0.76797829,27.75268817,biomassgain_unitweight,,0.047951644,0.951696165,20,Gadus_morhua,adult
Chabot1999,84.23,percent_sat,5.81441,10.02,28,1.564130435,,0.090698845,0.057986753,0.835171213,31.97014925,g_day_fish,,0.018214837,0.968792402,29.16129032,biomassgain_unitweight,,0.047951644,1,20,Gadus_morhua,adult
Chabot1999,93.15,percent_sat,6.44577,9.89,28,1.872826087,,0.082985563,0.044310341,1,33,g_day_fish,,0.018214837,1,26.03225806,biomassgain_unitweight,,0.047951644,0.892699115,19,Gadus_morhua,adult
Dutil2007,35,percent_sat,2.54267,7,29,33.47593583,cm_s,3.20855615,0.095846645,0.577757268,,,,,,,,,,,2,Gadus_morhua,adult
Dutil2007,45,percent_sat,3.26915,7,29,48.64973262,cm_s,5.414438503,0.111294312,0.839640055,,,,,,,,,,,2,Gadus_morhua,adult
Dutil2007,55,percent_sat,3.99562,7,29,34.54545455,cm_s,6.684491979,0.193498452,0.596215967,,,,,,,,,,,2,Gadus_morhua,adult
Dutil2007,65,percent_sat,4.7221,7,29,53.12834225,cm_s,2.807486631,0.052843483,0.916935856,,,,,,,,,,,2,Gadus_morhua,adult
Dutil2007,75,percent_sat,5.44858,7,29,52.39304813,cm_s,3.810160428,0.072722633,0.904245501,,,,,,,,,,,2,Gadus_morhua,adult
