Treatment_Oxygen,Temperature_C,Speed_Range,N_Obs
100,5,0-0.2,694
100,5,0.2-0.4,553
100,5,0.4-0.6,292
100,5,0.6-0.8,163
100,5,0.8-1.0,74
100,5,1.0-1.2,25
100,5,1.2-1.4,3
50,5,0-0.2,714
50,5,0.2-0.4,616
50,5,0.4-0.6,278
50,5,0.6-0.8,120
50,5,0.8-1.0,60
50,5,1.0-1.2,17
50,5,1.2-1.4,3
25,5,0-0.2,877
25,5,0.2-0.4,630
25,5,0.4-0.6,177
25,5,0.6-0.8,54
25,5,0.8-1.0,17
25,5,1.0-1.2,3
25,5,1.2-1.4,3
100,10,0-0.2,454
100,10,0.2-0.4,529
100,10,0.4-0.6,411
100,10,0.6-0.8,270
100,10,0.8-1.0,109
100,10,1.0-1.2,34
100,10,1.2-1.4,11
50,10,0-0.2,537
50,10,0.2-0.4,552
50,10,0.4-0.6,431
50,10,0.6-0.8,206
50,10,0.8-1.0,65
50,10,1.0-1.2,25
50,10,1.2-1.4,5
25,10,0-0.2,739
25,10,0.2-0.4,796
25,10,0.4-0.6,224
25,10,0.6-0.8,34
25,10,0.8-1.0,11
25,10,1.0-1.2,5
25,10,1.2-1.4,5
100,15,0-0.2,493
100,15,0.2-0.4,709
100,15,0.4-0.6,405
100,15,0.6-0.8,137
100,15,0.8-1.0,46
100,15,1.0-1.2,20
100,15,1.2-1.4,3
50,15,0-0.2,558
50,15,0.2-0.4,721
50,15,0.4-0.6,399
50,15,0.6-0.8,114
50,15,0.8-1.0,23
50,15,1.0-1.2,12
50,15,1.2-1.4,3
25,15,0-0.2,889
25,15,0.2-0.4,607
25,15,0.4-0.6,214
25,15,0.6-0.8,69
25,15,0.8-1.0,23
25,15,1.0-1.2,12
25,15,1.2-1.4,3
