Treatment,Temperature_C,Swim_DistMean,Swim_DistMin,Swim_DistMax,SD_distest,SE_distest,Swim_Speed
100,5,128,32,222,47.5,16.79378605,0.24
80,5,118,48,205,39.25,13.87697058,0.22
70,5,124,51,222,42.75,15.11440745,0.23
60,5,128,48,224,44,15.55634919,0.24
50,5,117,65,212,36.75,12.9930871,0.22
40,5,100,65,147,20.5,7.247844507,0.19
30,5,97,32,161,32.25,11.40209685,0.18
25,5,78,33,150,29.25,10.34143667,0.14
20,5,67,33,121,22,7.778174593,0.12
15,5,60,30,78,12,4.242640687,0.11
100,10,172,78,243,41.25,14.58407736,0.32
80,10,176,74,253,44.75,15.82151423,0.33
70,10,160,84,219,33.75,11.93242693,0.3
60,10,162,77,228,37.75,13.34664049,0.3
50,10,148,66,232,41.5,14.67246571,0.27
40,10,125,64,208,36,12.72792206,0.23
30,10,97,33,174,35.25,12.46275702,0.18
25,10,87,48,145,24.25,8.573669722,0.16
20,10,65,39,117,19.5,6.894291117,0.12
15,10,49,27,83,14,4.949747468,0.09
100,15,126,82,219,34.25,12.10920363,0.23
80,15,118,58,208,37.5,13.25825215,0.22
70,15,107,54,236,45.5,16.08667927,0.2
60,15,119,73,227,38.5,13.61180554,0.22
50,15,115,64,193,32.25,11.40209685,0.21
40,15,114,58,143,21.25,7.51300955,0.21
30,15,92,47,155,27,9.545941546,0.17
25,15,88,55,150,23.75,8.396893027,0.16
20,15,54,14,90,19,6.717514421,0.1
15,15,48,26,89,15.75,5.568465902,0.09
