Treatment,Temperature_C,Swim_Speed,SE_swimspeed,Oxygen_Exposure
100/100,5,0.349201278,0.014996414,100
20/20,5,0.227795527,0.010432288,20
20/30,5,0.193290735,0.00978027,28.34693878
20/40,5,0.24057508,0.009128252,34.28571429
20/50,5,0.241853035,0.010432288,40.87755102
20/60,5,0.259744409,0.011736324,46.7755102
20/80,5,0.24057508,0.009454261,60.65306122
20/100,5,0.238019169,0.010758297,69.79591837
100/100,15,0.482108626,0.016952468,100
20/20,15,0.203514377,0.007824216,20
20/30,15,0.137060703,0.008150225,29.53061224
20/40,15,0.252076677,0.014996414,37.2244898
20/50,15,0.377316294,0.01304036,41.42857143
20/60,15,0.397763578,0.014996414,47.02040816
20/80,15,0.404153355,0.020864576,56.48979592
20/100,15,0.373482428,0.018582513,69.95918367
