"Year" "Ratio" "Benthic_occ"
"1" 1979 0.3575 0.736648250460405
"2" 1980 0.180833333 0.84685956269495
"3" 1981 0.1475 0.871459694989107
"4" 1982 0.188333333 0.841514726743763
"5" 1983 0.288333333 0.776196636682069
"6" 1984 0.349166667 0.741198270354244
"7" 1985 0.26 0.793650793650794
"8" 1986 0.145833333 0.872727272981157
"9" 1987 0.108333333 0.902255639369099
"10" 1988 0.121666667 0.891530460359129
"11" 1989 0.120833333 0.892193308815522
"12" 1990 0.069166667 0.935307871882991
"13" 1991 0.041666667 0.9599999996928
"14" 1992 0.048333333 0.953895071845436
"15" 1993 0.111666667 0.899550224617826
"16" 1994 0.261666667 0.792602377597727
"17" 1995 0.305 0.766283524904215
"18" 1996 0.226666667 0.815217391082821
"19" 1997 0.198333333 0.834492350718913
"20" 1998 0.2175 0.82135523613963
"21" 1999 0.240833333 0.805910006932414
"22" 2000 0.22 0.819672131147541
"23" 2001 0.171666667 0.853485063768568
"24" 2002 0.133333333 0.882352941435986
"25" 2003 0.115833333 0.896191187721043
"26" 2004 0.119166667 0.893521965482197
"27" 2005 0.135833333 0.880410858658961
"28" 2006 0.1375 0.879120879120879
"29" 2007 0.106666667 0.903614457559152
"30" 2008 0.068333333 0.936037441789715
"31" 2009 0.046666667 0.955414012434582
"32" 2010 0.036666667 0.964630224770215
"33" 2011 0.0325 0.968523002421308
"34" 2012 0.035 0.966183574879227
"35" 2013 0.051666667 0.95087163202825
"36" 2014 0.07 0.934579439252336
"37" 2015 0.060833333 0.942655145622201
