"Year" "Fmax"
"46" 1991 1.309
"47" 1992 0.712
"48" 1993 0.45
"49" 1994 0.695
"50" 1995 0.685
"51" 1996 1.066
"52" 1997 1.176
"53" 1998 1.173
"54" 1999 1.329
"55" 2000 1.439
"56" 2001 1.406
"57" 2002 1.014
"58" 2003 1.057
"59" 2004 1.109
"60" 2005 0.868
"61" 2006 1.015
"62" 2007 0.866
"63" 2008 0.684
"64" 2009 0.662
"65" 2010 0.64
"66" 2011 0.737
"67" 2012 1.059
"68" 2013 0.867
"69" 2014 0.914
"70" 2015 0.932
"71" 2016 0.741
"72" 2017 0.718
"73" 2018 0.578
"74" 2019 0.336
