"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 1991 0.129849177172259 1209.89011227319 17559.1730940941 1.89302258781516e-05 2.90888333805097
"2" 1992 0.13040660667647 1121.31874611497 15984.9670016824 5.23143732037729e-06 3.11014206854907
"3" 1993 0.131493020043136 1271.1805278308 20657.1265496568 2.19020195857981e-05 2.89110393648992
"4" 1994 0.143096244466272 1290.41563617537 18835.4566265962 2.9301358775073e-05 2.83151847896839
"5" 1995 0.136078912055782 1341.19289039017 20159.7626222664 3.19987061739996e-05 2.81355000317888
"6" 1996 0.128445470321758 1246.20159496528 16845.2487022143 4.02822481895594e-05 2.78504855398611
"7" 1997 0.13272714835593 1236.33986445977 14902.7890543484 5.41661736713067e-05 2.72935416963089
"8" 1998 0.137514623964691 1238.14609441611 17474.1793301061 1.2902576053397e-05 2.95260067001483
"9" 1999 0.125426280198795 1217.4504495807 15251.8463300813 2.6047354339892e-05 2.84158068504923
"10" 2000 0.137713858569641 1213.82124424258 16314.0266745728 1.43184197536362e-05 2.93651481804371
