"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 2001 0.108134583650058 1289.88177064601 17935.9332711381 2.18681079808802e-05 2.86570318489319
"2" 2002 0.115776292458059 1250.1763584828 15966.7566035521 2.16636199338616e-05 2.86327668874066
"3" 2003 0.128134619853592 1146.00373876709 13178.8653356715 1.52094728470033e-05 2.92161501708197
"4" 2004 0.137171714848219 1136.26468086331 13448.9253661234 1.15151643213206e-05 2.9675922949571
"5" 2005 0.155616592131419 1001.54188068192 9150.11658343583 7.85320393646444e-06 3.0214526846513
"6" 2006 0.138394473304514 1108.84070266569 13298.6772656704 4.81760260510263e-06 3.10061844349319
"7" 2007 0.147793197526263 1061.55439005336 10576.8938541528 9.02106994451998e-06 2.99711605328053
"8" 2008 0.142369112591222 1032.68923779339 9227.73346760577 1.03668020630554e-05 2.96932327516983
"9" 2009 0.129177594962777 1245.03629229585 19380.5375385939 3.16093712015276e-06 3.16218882337334
"10" 2010 0.139721845770599 1064.44042665998 10881.3482978914 5.64204110596667e-06 3.06735190313751
"11" 2011 0.149017568561217 1078.80065851771 10485.3454856725 1.28175636558749e-05 2.93865810961001
"12" 2012 0.133110058446581 1001.93478044804 8065.14019805765 1.37022013982511e-05 2.92245610369746
"13" 2013 0.112116600228422 1104.58161589724 11797.6491124603 6.85184812083389e-06 3.03496135372156
"14" 2014 0.158270366464334 904.307004377512 6479.44937855814 7.85625207623574e-06 3.01602501524789
"15" 2015 0.176222092897417 871.994576122112 6176.31051831063 6.13569413183743e-06 3.06166407752749
"16" 2016 0.148841847117012 969.251676563347 8187.63058258016 6.25640773784827e-06 3.05274631123615
"17" 2017 0.146367561938727 926.235972872274 6760.62626664442 1.46390333012485e-05 2.92055526923514
"18" 2018 0.154250493911767 854.747548094632 5545.32712373929 7.26675514050799e-06 3.02969913657949
"19" 2019 0.171279008742215 854.874633638652 6075.61043009074 5.00010911175212e-06 3.09853777620742
