"Year" "Fmort"
"1" 1991 1.290909091
"2" 1992 1.363636364
"3" 1993 0.959090909
"4" 1994 0.690909091
"5" 1995 0.663636364
"6" 1996 1.268181818
"7" 1997 0.909090909
"8" 1998 0.486363636
"9" 1999 0.622727273
"10" 2000 0.772727273
"11" 2001 0.936363636
"12" 2002 0.909090909
"13" 2003 1.104545455
"14" 2004 0.731818182
"15" 2005 0.890909091
"16" 2006 0.890909091
"17" 2007 0.890909091
"18" 2008 0.890909091
"19" 2009 0.890909091
"20" 2010 0.890909091
"21" 2011 0.890909091
"22" 2012 0.890909091
"23" 2013 0.890909091
"24" 2014 0.890909091
"25" 2015 0.890909091
"26" 2016 0.890909091
"27" 2017 0.890909091
"28" 2018 0.890909091
"29" 2019 0.890909091
