"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 2001 NA NA NA NA NA
"2" 2002 NA NA NA NA NA
"3" 2003 NA NA NA NA NA
"4" 2004 NA NA NA NA NA
"5" 2005 NA NA NA NA NA
"6" 2006 NA NA NA NA NA
"7" 2007 0.238529 435.942 1165.56032938152 4.31013968230833e-06 3.19464714968976
"8" 2008 0.113402294755892 468.340475051561 1293.83458104647 6.09447377321009e-06 3.11804912303582
"9" 2009 0.126236715317836 467.63452061576 1154.07177793015 1.85052684958831e-05 2.91955439102709
"10" 2010 0.126625503769296 430.850495795043 979.439895832719 8.24534882730166e-06 3.06521171891129
"11" 2011 0.103197588919562 489.318544430475 1430.09340813006 1.26435799261987e-05 2.99431858778622
"12" 2012 0.114331562752236 452.767242081931 1082.09688975293 1.24885251468306e-05 2.9887532366269
"13" 2013 0.113118749382035 460.442697313275 1194.93881596931 8.20907148161901e-06 3.06515712444643
"14" 2014 0.12344327420462 442.876025431066 1080.86750474891 4.43917977048956e-06 3.16915173290471
"15" 2015 0.132676248120414 377.489979901588 649.943793815409 9.28374752485968e-06 3.04440837996141
"16" 2016 NA NA NA NA NA
"17" 2017 NA NA NA NA NA
"18" 2018 NA NA NA NA NA
"19" 2019 NA NA NA NA NA
