"Year" "Fmort"
"18" 1991 0.4539
"19" 1992 0.4324
"20" 1993 0.3667
"21" 1994 0.5224
"22" 1995 0.4814
"23" 1996 0.5319
"24" 1997 0.607
"25" 1998 0.594
"26" 1999 0.4723
"27" 2000 0.575
"28" 2001 0.5555
"29" 2002 0.5174
"30" 2003 0.4334
"31" 2004 0.4094
"32" 2005 0.3027
"33" 2006 0.3519
"34" 2007 0.3663
"35" 2008 0.4005
"36" 2009 0.5334
"37" 2010 0.4071
"38" 2011 0.3146
"39" 2012 0.2261
"40" 2013 0.2381
"41" 2014 0.2394
"42" 2015 0.334
"43" 2016 0.6401
"44" 2017 0.7258
"45" 2018 0.5805
"46" 2019 0.7206
