"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 1991 NA NA NA NA NA
"2" 1992 0.212758023402139 344.645087519722 251.539364104344 5.67350743391457e-06 3.01365115225535
"3" 1993 NA NA NA NA NA
"4" 1994 0.1948827459339 361.758655590873 304.541596833577 3.57415765383915e-06 3.09975540727738
"5" 1995 0.1723825 413.375 469.888127146923 2.43636678434749e-06 3.16672851246666
"6" 1996 0.218767723760639 334.178771281983 205.850681452212 4.10433065955416e-06 3.05086151701259
"7" 1997 NA NA NA NA NA
"8" 1998 0.209532464359659 314.412361958934 185.298029687508 3.18187073438022e-06 3.10918497378675
"9" 1999 0.282554888440567 257.01810807123 106.662278070701 2.55097742653312e-06 3.1624145079984
"10" 2000 0.230776132248772 300.657653950471 179.250901160081 2.71192422160384e-06 3.15575292549046
