"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 2001 0.226695294583799 296.432637264575 168.590470977466 3.23398345688806e-06 3.12189570979552
"2" 2002 0.287285352730497 310.408469848893 190.442791624535 6.22780879675215e-06 3.0038638989583
"3" 2003 0.347964010464576 254.122874439716 110.714317654047 2.03832111864509e-06 3.21612908472098
"4" 2004 0.3114759219703 252.938358677277 98.0396621384684 2.37527923267196e-06 3.16922203874103
"5" 2005 0.253107217691642 276.703707307059 135.336282486512 3.23739465397079e-06 3.12087299485852
"6" 2006 0.248716938062209 276.021894346291 134.150396215314 5.03844302397855e-06 3.0419776247053
"7" 2007 0.320224613363915 252.436059358293 95.6251491343202 8.4151131371836e-06 2.93716382309514
"8" 2008 0.327683088220362 251.531555869291 100.834974935169 3.61590748638111e-06 3.10148180292489
"9" 2009 0.253594985690229 273.542637436447 127.719563099832 4.13135304744196e-06 3.07348715037345
"10" 2010 0.241688924669244 279.998677061939 130.271786764485 6.39413409024598e-06 2.98676042386848
"11" 2011 0.295925019347096 241.531733797697 91.021048119306 5.81205939892311e-06 3.01925710794531
"12" 2012 0.304357692491576 257.378041101556 108.067169839382 7.61938135841962e-06 2.96683757073595
"13" 2013 0.236396897576988 291.847877778255 171.416903678721 1.21429524986551e-06 3.30596829006617
"14" 2014 0.282952610398938 275.8164631843 157.793979655405 4.9498937367678e-07 3.48415316951555
"15" 2015 0.243892888048985 301.612595334721 187.808732245001 5.04162672374581e-07 3.45687427154273
"16" 2016 0.243025400262406 337.803153181406 335.956686466425 1.15268464175206e-07 3.74291479952635
"17" 2017 0.309538163980696 267.836731321397 118.3693689948 5.14102321203555e-06 3.03236555280021
"18" 2018 0.314629514701648 259.799042979808 111.145933116298 2.25661810497036e-06 3.18575163293773
"19" 2019 0.32210886264656 268.672346316183 123.551240568606 2.0432938788175e-06 3.20329437804199
