"Year" "Fmort"
"18" 1991 0.2009
"19" 1992 0.2273
"20" 1993 0.2271
"21" 1994 0.2989
"22" 1995 0.5175
"23" 1996 0.454
"24" 1997 0.522
"25" 1998 0.4876
"26" 1999 0.4315
"27" 2000 0.3746
"28" 2001 0.4819
"29" 2002 0.4361
"30" 2003 0.4345
"31" 2004 0.6324
"32" 2005 0.6334
"33" 2006 0.5127
"34" 2007 0.6076
"35" 2008 0.5518
"36" 2009 0.6299
"37" 2010 0.5123
"38" 2011 0.4828
"39" 2012 0.5088
"40" 2013 0.5209
"41" 2014 0.5375
"42" 2015 0.4909
"43" 2016 0.523
"44" 2017 0.4966
"45" 2018 0.4599
"46" 2019 0.452
