"Year" "k" "L_inf" "W_inf" "a" "b"
"1" 2001 0.355460264015836 156.220225221255 20.8433972862693 8.7768484531742e-05 2.45044381836849
"2" 2002 0.411450692723641 153.0319697164 20.526367984442 5.88007395067805e-05 2.53706268892773
"3" 2003 0.454047918489996 151.04163136106 20.6413995056947 1.85703944515193e-05 2.77450656529007
"4" 2004 0.507005289794096 143.266760757999 15.9697453074883 4.38546896174303e-05 2.579270322304
"5" 2005 0.410502723551097 154.706993967043 20.9488385112539 2.53117590615396e-05 2.70281376314475
"6" 2006 0.41840577829474 153.322475289627 20.8082183111691 2.23542101875188e-05 2.73099362445078
"7" 2007 0.445751254675115 152.227506214514 21.273678904618 2.04158316372013e-05 2.75733995850228
"8" 2008 0.505333998016485 150.660218309196 20.7730676063528 1.87081939227654e-05 2.77569911781593
"9" 2009 0.473795841280799 152.940945249973 21.2302174528316 2.30654512398455e-05 2.73011105167932
"10" 2010 0.52813421788407 150.305948359952 19.9897517313336 2.79322544638732e-05 2.68937322152061
"11" 2011 0.482839517328165 152.538689065592 21.9002033044175 1.92189460835275e-05 2.77401027361322
"12" 2012 0.50888460178775 150.551403121069 21.2467357338283 2.40038294107165e-05 2.7308872542939
"13" 2013 0.458907100286664 162.339858592064 24.2568648156459 6.80387382956485e-05 2.51176945886765
"14" 2014 0.548900993693583 152.557691219989 22.2474292491972 1.87460891036395e-05 2.78202540498711
"15" 2015 0.503338364878733 151.65654654416 19.0638358327001 3.25332854174548e-05 2.64477283841389
"16" 2016 0.439576681315798 155.003502850343 20.1720047699844 4.49338218711646e-05 2.5804997394699
"17" 2017 0.455878892709014 148.38489012421 18.3522271903462 4.25453075836589e-05 2.5950372530945
"18" 2018 0.4532897787569 149.509565269901 18.2446048511675 5.01401294759115e-05 2.55714734752129
"19" 2019 0.437512257316643 148.223587929749 18.3319046987078 4.49687327880182e-05 2.58429783825587
